Index,Strike,Direction,Lots,Entry Date,Entry Time,Entry ₹,Exit Date,Exit Time,Exit ₹,Reason,P&L,P&L %,Hold (min)
NIFTY50,19950,BULLISH,3,11 Sep 23,11:40 AM,60.0,11 Sep 23,12:45 PM,64.58,tsl_hit,343.87,7.64,65
NIFTY50,19950,BEARISH,3,11 Sep 23,02:28 PM,60.0,11 Sep 23,02:33 PM,59.12,time_stop,-65.62,-1.46,5
NIFTY50,19950,BEARISH,3,11 Sep 23,02:48 PM,60.0,11 Sep 23,02:53 PM,59.86,time_stop,-10.5,-0.23,5
NIFTY50,20000,BEARISH,3,11 Sep 23,03:05 PM,60.0,11 Sep 23,03:10 PM,56.78,time_stop,-241.5,-5.37,5
NIFTY50,20100,BEARISH,3,12 Sep 23,09:17 AM,60.0,12 Sep 23,09:20 AM,62.84,tsl_hit,212.63,4.73,3
NIFTY50,20000,BULLISH,3,12 Sep 23,12:21 PM,60.0,12 Sep 23,12:28 PM,62.2,tsl_hit,165.37,3.67,7
NIFTY50,20000,BEARISH,3,12 Sep 23,01:26 PM,60.0,12 Sep 23,01:43 PM,61.5,tsl_hit,112.87,2.51,17
NIFTY50,20000,BEARISH,3,12 Sep 23,02:14 PM,60.0,12 Sep 23,02:33 PM,59.48,tsl_hit,-39.37,-0.87,19
NIFTY50,19950,BULLISH,3,13 Sep 23,09:17 AM,60.0,13 Sep 23,09:26 AM,72.64,tsl_hit,947.63,21.06,9
NIFTY50,20000,BEARISH,3,13 Sep 23,11:26 AM,60.0,13 Sep 23,11:31 AM,55.84,time_stop,-312.37,-6.94,5
NIFTY50,20050,BEARISH,3,13 Sep 23,12:12 PM,60.0,13 Sep 23,12:30 PM,54.36,hard_sl_hit,-422.63,-9.39,18
NIFTY50,20050,BEARISH,3,13 Sep 23,12:31 PM,60.0,13 Sep 23,12:42 PM,61.19,tsl_hit,89.25,1.98,11
NIFTY50,20150,BEARISH,3,14 Sep 23,09:18 AM,60.0,14 Sep 23,09:28 AM,54.22,hard_sl_hit,-433.12,-9.62,10
NIFTY50,20100,BEARISH,3,14 Sep 23,03:29 PM,60.0,15 Sep 23,09:15 AM,39.14,hard_sl_hit,-1564.5,-34.77,1
NIFTY50,20150,BEARISH,3,15 Sep 23,09:17 AM,60.0,15 Sep 23,09:22 AM,55.52,time_stop,-336.0,-7.47,5
NIFTY50,20150,BEARISH,3,15 Sep 23,10:54 AM,60.0,15 Sep 23,10:59 AM,56.64,time_stop,-252.0,-5.6,5
NIFTY50,20200,BEARISH,3,15 Sep 23,11:03 AM,60.0,15 Sep 23,12:12 PM,54.54,hard_sl_hit,-409.5,-9.1,69
NIFTY50,20150,BULLISH,3,15 Sep 23,12:21 PM,60.0,15 Sep 23,12:30 PM,53.28,hard_sl_hit,-504.0,-11.2,9
NIFTY50,20200,BEARISH,3,15 Sep 23,01:29 PM,60.0,15 Sep 23,01:43 PM,64.48,tsl_hit,336.0,7.47,14
NIFTY50,20200,BEARISH,3,15 Sep 23,02:47 PM,60.0,15 Sep 23,02:51 PM,60.59,tsl_hit,44.62,0.99,4
NIFTY50,20200,BEARISH,3,15 Sep 23,03:02 PM,60.0,15 Sep 23,03:07 PM,59.3,time_stop,-52.5,-1.17,5
NIFTY50,20150,BULLISH,3,18 Sep 23,12:20 PM,60.0,18 Sep 23,12:45 PM,61.29,tsl_hit,97.12,2.16,25
