avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,7,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,7,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,7,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,7,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,7,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,7,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,7,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,7,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,8,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,8,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,8,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,8,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,8,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,8,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,8,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,8,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,8,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,9,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,9,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,9,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,9,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,9,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,9,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,9,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,9,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,9,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,10,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,10,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,10,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,10,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,10,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,10,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,10,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,10,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,10,5,125,5.0,3.0,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,1,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,1,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,1,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,1,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,1,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,1,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,1,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,1,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,1,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,2,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,2,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,2,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,2,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,2,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,2,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,2,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,2,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,2,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,3,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,3,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,3,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,3,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,3,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,3,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,3,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,3,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,3,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,4,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,4,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,4,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,4,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,4,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,4,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,4,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,4,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,4,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,5,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,5,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,5,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,5,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,5,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,5,5,308,5.0,3.5,0.289
3.769,9.275,64364.4,0.5,77.596,0.9,-35.636,5,5,236,5.0,3.5,0.3051
3.732,8.098,76067.7,0.5,71.249,0.95,-23.932,5,5,168,5.0,3.5,0.3274
4.1,9.307,174119.5,0.5,44.179,1.0,74.12,5,5,125,5.0,3.5,0.368
4.416,9.178,1164.2,0.5,98.887,0.6,-98.836,6,5,494,5.0,3.5,0.3117
4.36,8.589,1592.6,0.5,98.477,0.65,-98.407,6,5,423,5.0,3.5,0.3191
4.596,9.021,1794.9,0.5,98.284,0.7,-98.205,6,5,345,5.0,3.5,0.3246
3.841,11.101,38295.0,0.5,95.767,0.75,-61.705,6,5,604,5.0,3.5,0.2831
3.796,11.286,47129.7,0.5,95.056,0.8,-52.87,6,5,485,5.0,3.5,0.2825
3.729,12.068,114513.1,0.5,87.075,0.85,14.513,6,5,308,5.0,3.5,0.289
