Index,Strike,Direction,Lots,Entry Date,Entry Time,Entry ₹,Exit Date,Exit Time,Exit ₹,Reason,P&L,P&L %,Hold (min)
NIFTY50,19600,BEARISH,9,27 Sep 23,09:15 AM,25.26,27 Sep 23,09:18 AM,22.76,hard_sl_hit,-562.5,-9.9,3
NIFTY50,19600,BULLISH,6,27 Sep 23,10:03 AM,36.51,27 Sep 23,10:05 AM,31.92,hard_sl_hit,-688.5,-12.57,2
NIFTY50,19600,BEARISH,4,27 Sep 23,10:44 AM,54.88,27 Sep 23,10:49 AM,55.02,tsl_hit,14.0,0.26,5
NIFTY50,19650,BULLISH,10,27 Sep 23,11:55 AM,21.91,27 Sep 23,11:56 AM,19.43,hard_sl_hit,-620.0,-11.32,1
NIFTY50,19700,BEARISH,7,27 Sep 23,01:11 PM,30.79,27 Sep 23,01:16 PM,27.84,hard_sl_hit,-516.25,-9.58,5
NIFTY50,19700,BULLISH,13,27 Sep 23,02:22 PM,17.09,27 Sep 23,02:30 PM,23.47,tsl_hit,2073.5,37.33,8
NIFTY50,19750,BEARISH,57,28 Sep 23,09:17 AM,4.1,28 Sep 23,09:19 AM,0.05,hard_sl_hit,-5771.25,-98.78,2
NIFTY50,19700,BULLISH,13,28 Sep 23,09:41 AM,16.1,28 Sep 23,09:42 AM,5.6,hard_sl_hit,-3412.5,-65.22,1
NIFTY50,19600,BULLISH,12,28 Sep 23,12:28 PM,15.3,28 Sep 23,12:34 PM,21.0,tsl_hit,1710.0,37.25,6
NIFTY50,19550,BEARISH,12,28 Sep 23,03:20 PM,16.7,28 Sep 23,03:21 PM,6.9,hard_sl_hit,-2940.0,-58.68,1
NIFTY50,19600,BEARISH,3,29 Sep 23,11:14 AM,53.58,29 Sep 23,11:26 AM,48.7,hard_sl_hit,-366.0,-9.11,12
NIFTY50,19650,BEARISH,3,29 Sep 23,11:37 AM,61.88,29 Sep 23,11:39 AM,56.22,hard_sl_hit,-424.5,-9.15,2
NIFTY50,19550,BULLISH,2,03 Oct 23,09:18 AM,90.9,03 Oct 23,09:34 AM,82.51,hard_sl_hit,-419.5,-9.23,16
NIFTY50,19500,BULLISH,1,03 Oct 23,09:56 AM,101.11,03 Oct 23,10:01 AM,94.28,time_stop,-170.75,-6.76,5
NIFTY50,19500,BEARISH,2,03 Oct 23,10:20 AM,88.84,03 Oct 23,10:29 AM,80.41,hard_sl_hit,-421.5,-9.49,9
NIFTY50,19500,BEARISH,8,03 Oct 23,12:10 PM,20.75,03 Oct 23,12:15 PM,20.01,time_stop,-148.0,-3.57,5
NIFTY50,19550,BULLISH,8,03 Oct 23,01:31 PM,22.48,03 Oct 23,01:35 PM,24.08,tsl_hit,320.0,7.12,4
NIFTY50,19550,BULLISH,6,03 Oct 23,02:04 PM,28.33,03 Oct 23,02:05 PM,25.59,hard_sl_hit,-411.0,-9.67,1
NIFTY50,19400,BULLISH,2,04 Oct 23,09:17 AM,83.77,04 Oct 23,09:23 AM,71.51,hard_sl_hit,-613.0,-14.64,6
NIFTY50,19400,BULLISH,6,04 Oct 23,11:28 AM,25.66,04 Oct 23,11:30 AM,24.83,tsl_hit,-124.5,-3.23,2
NIFTY50,19400,BEARISH,12,04 Oct 23,02:43 PM,14.49,04 Oct 23,02:45 PM,12.54,hard_sl_hit,-585.0,-13.46,2
NIFTY50,19400,BULLISH,5,04 Oct 23,03:01 PM,32.8,04 Oct 23,03:06 PM,45.51,tsl_hit,1588.75,38.75,5
NIFTY50,19550,BEARISH,8,05 Oct 23,09:17 AM,22.1,05 Oct 23,09:18 AM,13.6,hard_sl_hit,-1700.0,-38.46,1
NIFTY50,19600,BEARISH,1,06 Oct 23,09:17 AM,95.77,06 Oct 23,09:49 AM,95.98,tsl_hit,5.25,0.22,32
NIFTY50,19650,BEARISH,1,06 Oct 23,10:47 AM,105.5,06 Oct 23,10:55 AM,57.6,hard_sl_hit,-1197.5,-45.4,8
NIFTY50,19650,BEARISH,5,06 Oct 23,01:31 PM,30.74,06 Oct 23,01:35 PM,31.41,tsl_hit,83.75,2.18,4
NIFTY50,19650,BEARISH,7,06 Oct 23,02:04 PM,23.69,06 Oct 23,02:07 PM,21.36,hard_sl_hit,-407.75,-9.84,3
NIFTY50,19650,BULLISH,3,06 Oct 23,02:24 PM,50.19,06 Oct 23,02:45 PM,54.0,tsl_hit,285.75,7.59,21
NIFTY50,19650,BULLISH,2,06 Oct 23,02:50 PM,56.94,06 Oct 23,03:00 PM,61.26,tsl_hit,216.0,7.59,10
NIFTY50,19500,BULLISH,1,09 Oct 23,09:17 AM,169.58,09 Oct 23,10:03 AM,208.9,tsl_hit,983.0,23.19,46
NIFTY50,19550,BULLISH,4,09 Oct 23,12:21 PM,37.5,09 Oct 23,12:24 PM,32.19,hard_sl_hit,-531.0,-14.16,3
NIFTY50,19500,BULLISH,3,09 Oct 23,02:21 PM,43.95,09 Oct 23,02:30 PM,59.07,tsl_hit,1134.0,34.4,9
NIFTY50,19500,BULLISH,3,09 Oct 23,03:10 PM,54.54,09 Oct 23,03:17 PM,49.23,hard_sl_hit,-398.25,-9.74,7
NIFTY50,19600,BEARISH,1,10 Oct 23,09:18 AM,91.24,10 Oct 23,09:37 AM,92.75,tsl_hit,37.75,1.65,19
NIFTY50,19600,BEARISH,1,10 Oct 23,09:42 AM,91.51,10 Oct 23,10:12 AM,82.24,hard_sl_hit,-231.75,-10.13,30
NIFTY50,19600,BULLISH,4,10 Oct 23,10:57 AM,37.41,10 Oct 23,11:02 AM,36.49,time_stop,-92.0,-2.46,5
NIFTY50,19600,BULLISH,5,10 Oct 23,11:41 AM,33.29,10 Oct 23,11:48 AM,38.43,tsl_hit,642.5,15.44,7
NIFTY50,19700,BEARISH,6,10 Oct 23,01:29 PM,26.55,10 Oct 23,01:34 PM,23.72,hard_sl_hit,-424.5,-10.66,5
NIFTY50,19700,BEARISH,9,10 Oct 23,02:22 PM,17.56,10 Oct 23,02:27 PM,16.51,time_stop,-236.25,-5.98,5
NIFTY50,19700,BULLISH,6,10 Oct 23,03:03 PM,24.95,10 Oct 23,03:08 PM,26.8,tsl_hit,277.5,7.41,5
NIFTY50,19800,BEARISH,2,11 Oct 23,09:18 AM,66.87,11 Oct 23,09:22 AM,60.54,hard_sl_hit,-316.5,-9.47,4
NIFTY50,19800,BULLISH,4,11 Oct 23,10:57 AM,41.28,11 Oct 23,11:00 AM,41.21,tsl_hit,-7.0,-0.17,3
NIFTY50,19800,BULLISH,5,11 Oct 23,11:13 AM,32.85,11 Oct 23,11:15 AM,29.49,hard_sl_hit,-420.0,-10.23,2
NIFTY50,19800,BULLISH,5,11 Oct 23,11:17 AM,29.71,11 Oct 23,11:26 AM,35.36,tsl_hit,706.25,19.02,9
NIFTY50,19800,BULLISH,7,11 Oct 23,12:17 PM,22.38,11 Oct 23,12:18 PM,19.23,hard_sl_hit,-551.25,-14.08,1
NIFTY50,19850,BEARISH,9,12 Oct 23,09:17 AM,17.5,12 Oct 23,09:23 AM,21.4,tsl_hit,877.5,22.29,6
NIFTY50,19800,BULLISH,76,12 Oct 23,01:14 PM,2.3,12 Oct 23,01:17 PM,3.0,tsl_hit,1330.0,30.43,3
NIFTY50,19800,BULLISH,38,12 Oct 23,01:57 PM,4.7,12 Oct 23,01:58 PM,3.6,hard_sl_hit,-1045.0,-23.4,1
NIFTY50,19700,BEARISH,1,13 Oct 23,10:36 AM,171.18,13 Oct 23,10:55 AM,66.06,hard_sl_hit,-2628.0,-61.41,19
NIFTY50,19700,BEARISH,3,13 Oct 23,11:23 AM,43.82,13 Oct 23,11:28 AM,39.39,hard_sl_hit,-332.25,-10.11,5
NIFTY50,19700,BULLISH,3,13 Oct 23,12:11 PM,42.62,13 Oct 23,12:43 PM,56.26,tsl_hit,1023.0,32.0,32
NIFTY50,19750,BEARISH,4,13 Oct 23,02:07 PM,34.27,13 Oct 23,02:14 PM,34.38,tsl_hit,11.0,0.32,7
NIFTY50,19750,BULLISH,2,16 Oct 23,10:59 AM,59.21,16 Oct 23,11:08 AM,58.09,tsl_hit,-56.0,-1.89,9
NIFTY50,19750,BULLISH,3,16 Oct 23,11:14 AM,52.89,16 Oct 23,11:16 AM,46.47,hard_sl_hit,-481.5,-12.14,2
NIFTY50,19800,BEARISH,2,17 Oct 23,09:17 AM,76.66,17 Oct 23,09:28 AM,76.08,tsl_hit,-29.0,-0.76,11
NIFTY50,19850,BULLISH,9,17 Oct 23,11:33 AM,17.57,17 Oct 23,11:41 AM,17.55,tsl_hit,-4.5,-0.11,8
NIFTY50,19850,BULLISH,15,17 Oct 23,12:27 PM,11.09,17 Oct 23,12:30 PM,9.71,hard_sl_hit,-517.5,-12.44,3
NIFTY50,19850,BULLISH,16,17 Oct 23,12:32 PM,9.81,17 Oct 23,12:41 PM,15.29,tsl_hit,2192.0,55.86,9
NIFTY50,19850,BULLISH,11,17 Oct 23,01:04 PM,15.78,17 Oct 23,01:06 PM,14.29,hard_sl_hit,-409.75,-9.44,2
NIFTY50,19800,BULLISH,8,18 Oct 23,09:19 AM,21.14,18 Oct 23,09:20 AM,18.46,hard_sl_hit,-536.0,-12.68,1
NIFTY50,19700,BEARISH,6,18 Oct 23,01:07 PM,24.6,18 Oct 23,01:12 PM,22.24,hard_sl_hit,-354.0,-9.59,5
NIFTY50,19700,BEARISH,11,18 Oct 23,01:58 PM,15.07,18 Oct 23,02:00 PM,13.11,hard_sl_hit,-539.0,-13.01,2
NIFTY50,19700,BEARISH,7,19 Oct 23,02:07 PM,23.4,19 Oct 23,02:10 PM,31.3,tsl_hit,1382.5,33.76,3
NIFTY50,19550,BULLISH,1,20 Oct 23,09:17 AM,142.22,20 Oct 23,09:30 AM,152.47,tsl_hit,256.25,7.21,13
NIFTY50,19550,BEARISH,3,20 Oct 23,11:16 AM,46.89,20 Oct 23,11:21 AM,46.27,time_stop,-46.5,-1.32,5
NIFTY50,19550,BULLISH,3,20 Oct 23,11:49 AM,57.04,20 Oct 23,11:56 AM,57.01,tsl_hit,-2.25,-0.05,7
NIFTY50,19550,BEARISH,3,20 Oct 23,01:20 PM,49.25,20 Oct 23,01:38 PM,54.16,tsl_hit,368.25,9.97,18
NIFTY50,19550,BULLISH,3,20 Oct 23,03:20 PM,57.12,20 Oct 23,03:23 PM,58.23,tsl_hit,83.25,1.94,3
NIFTY50,19550,BEARISH,4,23 Oct 23,09:22 AM,38.98,23 Oct 23,09:35 AM,50.24,tsl_hit,1126.0,28.89,13
NIFTY50,19450,BULLISH,3,23 Oct 23,11:48 AM,58.61,23 Oct 23,11:58 AM,63.03,tsl_hit,331.5,7.54,10
NIFTY50,19300,BULLISH,5,25 Oct 23,11:07 AM,36.06,25 Oct 23,11:11 AM,29.01,hard_sl_hit,-881.25,-19.55,4
NIFTY50,19250,BULLISH,5,25 Oct 23,11:34 AM,31.47,25 Oct 23,11:35 AM,26.49,hard_sl_hit,-622.5,-15.82,1
NIFTY50,19200,BULLISH,5,25 Oct 23,12:35 PM,30.57,25 Oct 23,12:41 PM,25.65,hard_sl_hit,-615.0,-16.09,6
NIFTY50,19150,BULLISH,3,25 Oct 23,02:26 PM,44.28,25 Oct 23,02:31 PM,44.44,tsl_hit,12.0,0.36,5
NIFTY50,19100,BULLISH,3,25 Oct 23,03:22 PM,47.73,26 Oct 23,09:15 AM,0.05,hard_sl_hit,-3576.0,-99.9,8
NIFTY50,19000,BULLISH,64,26 Oct 23,09:18 AM,2.4,26 Oct 23,09:20 AM,0.05,hard_sl_hit,-3760.0,-97.92,2
NIFTY50,18850,BULLISH,7,26 Oct 23,11:02 AM,19.3,26 Oct 23,11:05 AM,18.1,tsl_hit,-210.0,-6.22,3
NIFTY50,18900,BEARISH,6,26 Oct 23,11:45 AM,21.9,26 Oct 23,11:46 AM,13.8,hard_sl_hit,-1215.0,-36.99,1
NIFTY50,18900,BEARISH,6,26 Oct 23,11:49 AM,19.9,26 Oct 23,11:50 AM,15.4,hard_sl_hit,-675.0,-22.61,1
NIFTY50,18900,BEARISH,5,26 Oct 23,12:47 PM,21.9,26 Oct 23,12:51 PM,28.4,tsl_hit,812.5,29.68,4
NIFTY50,18850,BULLISH,44,26 Oct 23,01:27 PM,3.0,26 Oct 23,01:29 PM,2.6,hard_sl_hit,-440.0,-13.33,2
NIFTY50,19000,BEARISH,1,27 Oct 23,11:02 AM,66.02,27 Oct 23,11:13 AM,65.71,tsl_hit,-7.75,-0.47,11
NIFTY50,19050,BEARISH,1,27 Oct 23,11:26 AM,84.11,27 Oct 23,11:34 AM,76.07,hard_sl_hit,-201.0,-9.56,8
NIFTY50,19050,BULLISH,1,27 Oct 23,12:22 PM,65.69,27 Oct 23,12:29 PM,57.94,hard_sl_hit,-193.75,-11.8,7
NIFTY50,19050,BULLISH,2,27 Oct 23,12:31 PM,60.71,27 Oct 23,12:40 PM,61.28,tsl_hit,28.5,0.94,9
NIFTY50,19050,BEARISH,2,27 Oct 23,01:48 PM,52.45,27 Oct 23,01:58 PM,56.43,tsl_hit,199.0,7.59,10
NIFTY50,19050,BEARISH,2,27 Oct 23,02:35 PM,58.36,27 Oct 23,02:40 PM,54.51,time_stop,-192.5,-6.6,5
