hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,1.0,2026-04,-15017.8,-30.036,2,5,50,0.34
5.0,1.0,2026-05,5639.9,11.28,2,5,31,0.5484
5.0,0.8,2025-09,33327.0,66.654,3,5,179,0.4637
5.0,0.8,2025-10,-63684.6,-127.369,3,5,214,0.4206
5.0,0.8,2025-11,-12255.6,-24.511,3,5,233,0.3948
5.0,0.8,2025-12,-3623.2,-7.246,3,5,143,0.3846
5.0,0.85,2025-09,18773.3,37.547,3,5,120,0.425
5.0,0.85,2025-10,-50082.2,-100.164,3,5,148,0.3919
5.0,0.85,2025-11,-11890.9,-23.782,3,5,131,0.3435
5.0,0.85,2025-12,-2865.8,-5.732,3,5,112,0.3839
5.0,0.9,2025-09,11709.6,23.419,3,5,93,0.4194
5.0,0.9,2025-10,-38999.1,-77.998,3,5,109,0.3945
5.0,0.9,2025-11,-14290.5,-28.581,3,5,99,0.3333
5.0,0.9,2025-12,-4332.3,-8.665,3,5,121,0.3636
5.0,0.9,2026-01,-204.4,-0.409,3,5,9,0.5556
5.0,0.95,2025-09,553.7,1.107,3,5,64,0.3906
5.0,0.95,2025-10,-24582.6,-49.165,3,5,73,0.411
5.0,0.95,2025-11,-8409.8,-16.82,3,5,71,0.3803
5.0,0.95,2025-12,-8309.7,-16.619,3,5,86,0.3605
5.0,0.95,2026-01,1015.7,2.031,3,5,69,0.4348
5.0,0.95,2026-02,5292.0,10.584,3,5,100,0.5
5.0,0.95,2026-03,4340.0,8.68,3,5,74,0.4054
5.0,0.95,2026-04,-8455.3,-16.911,3,5,64,0.3281
5.0,0.95,2026-05,4447.8,8.896,3,5,46,0.5
5.0,1.0,2025-09,3481.1,6.962,3,5,51,0.3725
5.0,1.0,2025-10,-3815.0,-7.63,3,5,54,0.4815
5.0,1.0,2025-11,-11253.2,-22.506,3,5,53,0.434
5.0,1.0,2025-12,-22596.0,-45.192,3,5,63,0.3651
5.0,1.0,2026-01,-1335.6,-2.671,3,5,47,0.4043
5.0,1.0,2026-02,9381.4,18.763,3,5,70,0.5571
5.0,1.0,2026-03,2693.6,5.387,3,5,53,0.3585
5.0,1.0,2026-04,-10623.9,-21.248,3,5,50,0.34
5.0,1.0,2026-05,3454.5,6.909,3,5,31,0.5484
5.0,0.8,2025-09,34467.3,68.935,4,5,179,0.4637
5.0,0.8,2025-10,-73562.3,-147.125,4,5,214,0.4206
5.0,0.8,2025-11,-7965.3,-15.931,4,5,129,0.3566
5.0,0.85,2025-09,19774.3,39.549,4,5,120,0.425
5.0,0.85,2025-10,-59112.2,-118.224,4,5,148,0.3919
5.0,0.85,2025-11,-7685.3,-15.371,4,5,72,0.3194
5.0,0.9,2025-09,11478.6,22.957,4,5,93,0.4194
5.0,0.9,2025-10,-46370.1,-92.74,4,5,109,0.3945
5.0,0.9,2025-11,-10681.3,-21.363,4,5,99,0.3333
5.0,0.9,2025-12,-1505.0,-3.01,4,5,59,0.3559
5.0,0.95,2025-09,-2182.6,-4.365,4,5,64,0.3906
5.0,0.95,2025-10,-28555.1,-57.11,4,5,73,0.411
5.0,0.95,2025-11,-7274.4,-14.549,4,5,71,0.3803
5.0,0.95,2025-12,-6567.4,-13.135,4,5,86,0.3605
5.0,0.95,2026-01,1152.2,2.304,4,5,69,0.4348
5.0,0.95,2026-02,1573.6,3.147,4,5,100,0.5
5.0,0.95,2026-03,-2149.7,-4.299,4,5,74,0.4054
5.0,0.95,2026-04,-2492.0,-4.984,4,5,64,0.3281
5.0,0.95,2026-05,-748.3,-1.497,4,5,1,0.0
5.0,1.0,2025-09,2136.4,4.273,4,5,51,0.3725
5.0,1.0,2025-10,-6366.5,-12.733,4,5,54,0.4815
5.0,1.0,2025-11,-15829.1,-31.658,4,5,53,0.434
5.0,1.0,2025-12,-20974.1,-41.948,4,5,63,0.3651
5.0,1.0,2026-01,-1147.3,-2.295,4,5,47,0.4043
5.0,1.0,2026-02,4685.8,9.372,4,5,70,0.5571
5.0,1.0,2026-03,-2207.1,-4.414,4,5,53,0.3585
5.0,1.0,2026-04,-5204.5,-10.409,4,5,50,0.34
5.0,1.0,2026-05,1486.8,2.974,4,5,31,0.5484
5.0,0.8,2025-09,31252.2,62.504,5,5,179,0.4637
5.0,0.8,2025-10,-76135.5,-152.271,5,5,214,0.4206
5.0,0.8,2025-11,-3002.3,-6.005,5,5,29,0.3448
5.0,0.85,2025-09,17335.5,34.671,5,5,120,0.425
5.0,0.85,2025-10,-61222.0,-122.444,5,5,148,0.3919
5.0,0.85,2025-11,-3723.3,-7.447,5,5,24,0.2917
5.0,0.9,2025-09,8535.8,17.072,5,5,93,0.4194
5.0,0.9,2025-10,-49203.0,-98.406,5,5,109,0.3945
5.0,0.9,2025-11,-7105.7,-14.211,5,5,31,0.1935
5.0,0.95,2025-09,-6414.1,-12.828,5,5,64,0.3906
5.0,0.95,2025-10,-30077.6,-60.155,5,5,73,0.411
5.0,0.95,2025-11,-8663.2,-17.326,5,5,71,0.3803
5.0,0.95,2025-12,-2623.6,-5.247,5,5,83,0.3614
5.0,1.0,2025-09,-276.5,-0.553,5,5,51,0.3725
