composite_score,full_avg_loss_pct,full_avg_win_pct,full_max_dd_pct,full_return_pct,full_trades,full_win_rate,hard_sl_pct,index_id,min_confidence,test_avg_loss_pct,test_avg_win_pct,test_max_dd_pct,test_return_pct,test_trades,test_win_rate,train_return_pct,train_trades,tsl_activation_pct,walk_forward
0.1282,,,,,,,22,BANKNIFTY,0.5,25.57,19.45,11.46,-3.34,26,0.5385,-23.53,84,10,True
,23.17,26.49,46.57,-29.71,116,0.4052,22,BANKNIFTY,0.5,,,,,,,,,10,False
0.0368,,,,,,,22,FINNIFTY,0.5,25.76,4.89,7.38,-5.66,9,0.5556,-13.63,41,10,True
,26.48,15.77,31.2,-25.93,56,0.4643,22,FINNIFTY,0.5,,,,,,,,,10,False
-0.0303,,,,,,,22,NIFTY50,0.6,8.78,,4.34,-4.34,6,0.0,-3.27,28,10,True
,14.61,18.12,14.42,-5.6,36,0.3889,22,NIFTY50,0.6,,,,,,,,,10,False
0.1282,,,,,,,22,BANKNIFTY,0.6,25.57,19.45,11.46,-3.34,26,0.5385,-23.53,84,10,True
,23.17,26.49,46.57,-29.71,116,0.4052,22,BANKNIFTY,0.6,,,,,,,,,10,False
0.0368,,,,,,,22,FINNIFTY,0.6,25.76,4.89,7.38,-5.66,9,0.5556,-13.63,41,10,True
,26.48,15.77,31.2,-25.93,56,0.4643,22,FINNIFTY,0.6,,,,,,,,,10,False
-0.0303,,,,,,,22,NIFTY50,0.65,8.78,,4.34,-4.34,6,0.0,-3.27,28,10,True
,14.61,18.12,14.42,-5.6,36,0.3889,22,NIFTY50,0.65,,,,,,,,,10,False
0.1282,,,,,,,22,BANKNIFTY,0.65,25.57,19.45,11.46,-3.34,26,0.5385,-23.53,84,10,True
,23.17,26.49,46.57,-29.71,116,0.4052,22,BANKNIFTY,0.65,,,,,,,,,10,False
0.0368,,,,,,,22,FINNIFTY,0.65,25.76,4.89,7.38,-5.66,9,0.5556,-13.63,41,10,True
,26.48,15.77,31.2,-25.93,56,0.4643,22,FINNIFTY,0.65,,,,,,,,,10,False
,,,,,,,22,NIFTY50,0.5,15.65,,3.89,-3.89,3,0.0,-6.28,25,12,True
,21.16,19.42,16.22,-8.6,32,0.4375,22,NIFTY50,0.5,,,,,,,,,12,False
0.1499,,,,,,,22,BANKNIFTY,0.5,27.61,19.18,10.84,-3.16,25,0.56,-4.71,78,12,True
,24.26,24.56,31.77,-12.58,108,0.4815,22,BANKNIFTY,0.5,,,,,,,,,12,False
0.4063,,,,,,,22,FINNIFTY,0.5,22.55,10.58,3.22,-0.3,9,0.6667,-14.58,41,12,True
,27.66,16.02,28.07,-22.7,55,0.5091,22,FINNIFTY,0.5,,,,,,,,,12,False
,,,,,,,22,NIFTY50,0.6,15.65,,3.89,-3.89,3,0.0,-6.28,25,12,True
,21.16,19.42,16.22,-8.6,32,0.4375,22,NIFTY50,0.6,,,,,,,,,12,False
0.1499,,,,,,,22,BANKNIFTY,0.6,27.61,19.18,10.84,-3.16,25,0.56,-4.71,78,12,True
,24.26,24.56,31.77,-12.58,108,0.4815,22,BANKNIFTY,0.6,,,,,,,,,12,False
0.4063,,,,,,,22,FINNIFTY,0.6,22.55,10.58,3.22,-0.3,9,0.6667,-14.58,41,12,True
,27.66,16.02,28.07,-22.7,55,0.5091,22,FINNIFTY,0.6,,,,,,,,,12,False
,,,,,,,22,NIFTY50,0.65,15.65,,3.89,-3.89,3,0.0,-6.28,25,12,True
,21.16,19.42,16.22,-8.6,32,0.4375,22,NIFTY50,0.65,,,,,,,,,12,False
0.1499,,,,,,,22,BANKNIFTY,0.65,27.61,19.18,10.84,-3.16,25,0.56,-4.71,78,12,True
,24.26,24.56,31.77,-12.58,108,0.4815,22,BANKNIFTY,0.65,,,,,,,,,12,False
0.4063,,,,,,,22,FINNIFTY,0.65,22.55,10.58,3.22,-0.3,9,0.6667,-14.58,41,12,True
,27.66,16.02,28.07,-22.7,55,0.5091,22,FINNIFTY,0.65,,,,,,,,,12,False
,,,,,,,22,NIFTY50,0.5,23.42,,3.88,-3.88,2,0.0,-5.98,24,15,True
,23.69,20.3,15.33,-7.63,30,0.4667,22,NIFTY50,0.5,,,,,,,,,15,False
0.3953,,,,,,,22,BANKNIFTY,0.5,27.76,20.6,10.71,0.97,25,0.6,-7.61,71,15,True
,27.92,25.82,33.61,-15.51,100,0.5,22,BANKNIFTY,0.5,,,,,,,,,15,False
0.4063,,,,,,,22,FINNIFTY,0.5,22.55,10.58,3.22,-0.3,9,0.6667,-16.72,41,15,True
,27.5,16.43,28.11,-23.05,55,0.4909,22,FINNIFTY,0.5,,,,,,,,,15,False
,,,,,,,22,NIFTY50,0.6,23.42,,3.88,-3.88,2,0.0,-5.98,24,15,True
,23.69,20.3,15.33,-7.63,30,0.4667,22,NIFTY50,0.6,,,,,,,,,15,False
0.3953,,,,,,,22,BANKNIFTY,0.6,27.76,20.6,10.71,0.97,25,0.6,-7.61,71,15,True
,27.92,25.82,33.61,-15.51,100,0.5,22,BANKNIFTY,0.6,,,,,,,,,15,False
0.4063,,,,,,,22,FINNIFTY,0.6,22.55,10.58,3.22,-0.3,9,0.6667,-16.72,41,15,True
,27.5,16.43,28.11,-23.05,55,0.4909,22,FINNIFTY,0.6,,,,,,,,,15,False
,,,,,,,22,NIFTY50,0.65,23.42,,3.88,-3.88,2,0.0,-5.98,24,15,True
,23.69,20.3,15.33,-7.63,30,0.4667,22,NIFTY50,0.65,,,,,,,,,15,False
0.3953,,,,,,,22,BANKNIFTY,0.65,27.76,20.6,10.71,0.97,25,0.6,-7.61,71,15,True
,27.92,25.82,33.61,-15.51,100,0.5,22,BANKNIFTY,0.65,,,,,,,,,15,False
0.4063,,,,,,,22,FINNIFTY,0.65,22.55,10.58,3.22,-0.3,9,0.6667,-16.72,41,15,True
,27.5,16.43,28.11,-23.05,55,0.4909,22,FINNIFTY,0.65,,,,,,,,,15,False
0.0472,,,,,,,27,NIFTY50,0.5,10.45,,3.14,-3.14,5,0.0,-4.54,26,10,True
,16.19,18.9,12.46,-6.39,33,0.3939,27,NIFTY50,0.5,,,,,,,,,10,False
0.0612,,,,,,,27,BANKNIFTY,0.5,29.32,19.9,11.11,-4.6,24,0.5417,-16.07,78,10,True
,25.53,26.68,36.38,-23.46,108,0.4352,27,BANKNIFTY,0.5,,,,,,,,,10,False
0.0162,,,,,,,27,FINNIFTY,0.5,28.28,4.89,7.35,-6.03,9,0.5556,-5.77,37,10,True
,26.35,15.81,20.29,-14.45,50,0.5,27,FINNIFTY,0.5,,,,,,,,,10,False
0.0472,,,,,,,27,NIFTY50,0.6,10.45,,3.14,-3.14,5,0.0,-4.54,26,10,True
,16.19,18.9,12.46,-6.39,33,0.3939,27,NIFTY50,0.6,,,,,,,,,10,False
0.0612,,,,,,,27,BANKNIFTY,0.6,29.32,19.9,11.11,-4.6,24,0.5417,-16.07,78,10,True
,25.53,26.68,36.38,-23.46,108,0.4352,27,BANKNIFTY,0.6,,,,,,,,,10,False
0.0162,,,,,,,27,FINNIFTY,0.6,28.28,4.89,7.35,-6.03,9,0.5556,-5.77,37,10,True
,26.35,15.81,20.29,-14.45,50,0.5,27,FINNIFTY,0.6,,,,,,,,,10,False
0.0472,,,,,,,27,NIFTY50,0.65,10.45,,3.14,-3.14,5,0.0,-4.54,26,10,True
,16.19,18.9,12.46,-6.39,33,0.3939,27,NIFTY50,0.65,,,,,,,,,10,False
0.0612,,,,,,,27,BANKNIFTY,0.65,29.32,19.9,11.11,-4.6,24,0.5417,-16.07,78,10,True
,25.53,26.68,36.38,-23.46,108,0.4352,27,BANKNIFTY,0.65,,,,,,,,,10,False
