hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,0.9,2025-09,65712.94,131.426,2,5,101,0.5149
5.0,0.9,2025-10,-36272.51,-72.545,2,5,106,0.3585
5.0,0.9,2025-11,-52634.93,-105.27,2,5,115,0.3739
5.0,0.9,2025-12,8388.98,16.778,2,5,144,0.4167
5.0,0.9,2026-01,-12077.1,-24.154,2,5,115,0.2957
5.0,0.9,2026-02,26823.04,53.646,2,5,132,0.4621
5.0,0.9,2026-03,81446.4,162.893,2,5,111,0.3604
5.0,0.9,2026-04,-102701.55,-205.403,2,5,87,0.3333
5.0,0.9,2026-05,-15278.55,-30.557,2,5,104,0.3654
5.0,0.9,2026-06,-4197.9,-8.396,2,5,130,0.4077
5.0,0.9,2026-07,2441.78,4.884,2,5,137,0.438
5.0,0.9,2026-08,3573.15,7.146,2,5,149,0.4631
5.0,0.9,2026-09,-6227.03,-12.454,2,5,27,0.2963
5.0,0.95,2025-09,31194.19,62.388,2,5,78,0.5
5.0,0.95,2025-10,-6462.23,-12.924,2,5,76,0.3421
5.0,0.95,2025-11,-22016.66,-44.033,2,5,85,0.4
5.0,0.95,2025-12,82456.24,164.912,2,5,106,0.4245
5.0,0.95,2026-01,-13218.71,-26.437,2,5,82,0.3171
5.0,0.95,2026-02,186419.36,372.839,2,5,95,0.4842
5.0,0.95,2026-03,413914.73,827.829,2,5,89,0.3258
5.0,0.95,2026-04,-530754.53,-1061.509,2,5,67,0.3433
5.0,0.95,2026-05,-103204.76,-206.41,2,5,79,0.3797
5.0,0.95,2026-06,3531.94,7.064,2,5,96,0.3854
5.0,0.95,2026-07,154217.7,308.435,2,5,102,0.5
5.0,0.95,2026-08,-58986.64,-117.973,2,5,125,0.44
5.0,0.95,2026-09,-53931.41,-107.863,2,5,20,0.35
5.0,1.0,2025-09,46095.0,92.19,2,5,51,0.4902
5.0,1.0,2025-10,34135.76,68.272,2,5,55,0.4182
5.0,1.0,2025-11,-480.11,-0.96,2,5,65,0.4154
